"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PrevisouFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"Roughly Enough Items";"310111";"9.1.517";"Mods";;"False";"3874786";"RoughlyEnoughItems-9.1.517.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\RoughlyEnoughItems-9.1.517.jar";;"14/07/2022 05:37:45";"1921743";"https://edge.forgecdn.net/files/3874/786/RoughlyEnoughItems-9.1.517.jar";"1.19";"Architectury API(Required Dependency)/Fabric API(Required Dependency)/Cloth Config API(Required Dependency)";"True";"True";"True"
"Shield Corrections Colored";"308471";"1.3.0";"Ressources";;"True";"3851441";"Shield Corrections §c[Colored].zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Ressources\Shield Corrections §c[Colored].zip";;"28/06/2022 12:02:27";"380070";"https://edge.forgecdn.net/files/3851/441/Shield Corrections §c[Colored].zip";"1.19";;"True";"True";"True"
"Shield Corrections Regular";"308471";"1.3.0";"Ressources";;"True";"3851439";"Shield Corrections §7[Regular].zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Ressources\Shield Corrections §7[Regular].zip";;"28/06/2022 12:01:52";"382742";"https://edge.forgecdn.net/files/3851/439/Shield Corrections §7[Regular].zip";"1.19";;"True";"True";"True"
"ShulkerBoxTooltip";"315811";"3.0.10";"Mods";;"True";"3856055";"shulkerboxtooltip-3.0.10+1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\shulkerboxtooltip-3.0.10+1.19.jar";;"02/07/2022 03:05:01";"1187849";"https://edge.forgecdn.net/files/3856/55/shulkerboxtooltip-3.0.10+1.19.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Sodium";"394468";"0.4.2";"Mods";"NoOptifine";"True";"3820973";"sodium-fabric-mc1.19-0.4.2+build.16.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\sodium-fabric-mc1.19-0.4.2+build.16.jar";;"07/06/2022 17:25:02";"1364166";"https://edge.forgecdn.net/files/3820/973/sodium-fabric-mc1.19-0.4.2+build.16.jar";"1.19";;"True";"True";"True"
"Sodium Extra";"447673";"0.4.5";"Mods";"NoOptifine";"True";"3821014";"sodium-extra-0.4.5+mc1.19-build.43.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\sodium-extra-0.4.5+mc1.19-build.43.jar";;"07/06/2022 17:39:51";"205805";"https://edge.forgecdn.net/files/3821/14/sodium-extra-0.4.5+mc1.19-build.43.jar";"1.19";"Sodium(Required Dependency)";"True";"True";"True"
"ToolTipFix";"411557";"1.0.5";"Mods";;"False";"3820437";"tooltipfix-1.0.5-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\tooltipfix-1.0.5-1.19.jar";;"07/06/2022 06:39:56";"10838";"https://edge.forgecdn.net/files/3820/437/tooltipfix-1.0.5-1.19.jar";"1.19";;"True";"True";"True"
"Tweakeroo";"297344";;"Mods";;"False";;;;;;;;;;"True";;
"WorldEdit";"225608";"7.2.11";"Mods";;"True";"3836903";"worldedit-mod-7.2.11-beta-01.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\worldedit-mod-7.2.11-beta-01.jar";;"18/06/2022 03:24:43";"5625191";"https://edge.forgecdn.net/files/3836/903/worldedit-mod-7.2.11-beta-01.jar";"1.19";;"True";"True";"True"
"WTHIT";"440979";"5.6.1";"Mods";;"False";"3873747";"wthit-fabric-5.6.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\wthit-fabric-5.6.1.jar";;"13/07/2022 16:10:16";"339598";"https://edge.forgecdn.net/files/3873/747/wthit-fabric-5.6.1.jar";"1.19";"Bad Packets(Required Dependency)/Fabric API(Required Dependency)";"True";"True";"True"
"Xaeros Minimap";"263420";"22.12.0";"Mods";;"False";"50504649504648";"Xaeros_Minimap_22.12.0_Fabric_1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\Xaeros_Minimap_22.12.0_Fabric_1.19.jar";;"16/07/2022 15:36:08";"1287340";"https://chocolateminecraft.com/mods2/minimap/Xaeros_Minimap_22.12.0_Fabric_1.19.jar";"1.19";;"True";"True";"True"
"Xaeros WorldMap";"317780";"1.26.1";"Mods";;"False";"494650544649";"XaerosWorldMap_1.26.1_Fabric_1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\XaerosWorldMap_1.26.1_Fabric_1.19.jar";;"16/07/2022 15:36:27";"738244";"https://chocolateminecraft.com/mods2/worldmap/XaerosWorldMap_1.26.1_Fabric_1.19.jar";"1.19";;"True";"True";"True"
"Zoomify";"574741";"1.7.1";"Mods";"NoOptifine";"True";"3844111";"Zoomify-1.7.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\Zoomify-1.7.1.jar";;"22/06/2022 18:46:31";"294379";"https://edge.forgecdn.net/files/3844/111/Zoomify-1.7.1.jar";"1.19";"Fabric API(Required Dependency)/Cloth Config API(Required Dependency)/Fabric Language Kotlin(Required Dependency)";"True";"True";"True"
